,Unnamed: 0_x,Month,N_staff,Tot_Donations (CHF),N_Esupporters,N_volunteers,N_activities,Activity_id,Unnamed: 0_y,Tot_budget,Tot_cost,n_beneficiaries,n_volunteers,n_staff,beneficiary_id,beneficiary_dropout,Unnamed: 0,id,gender,age,education,start_field,end_field
0,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,45,0,45.0,45.0,F,32.0,Master,IT,IT
1,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,52,0,52.0,52.0,F,43.0,Master,Farming,Farming
2,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1330,0,1330.0,1330.0,F,36.0,Bachelor,IT,IT
3,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1108,0,1108.0,1108.0,F,30.0,HighSchool,Business,Business
4,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,18,0,18.0,18.0,F,31.0,HighSchool,IT,IT
5,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1923,0,1923.0,1923.0,F,30.0,Bachelor,Law,Law
6,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1804,0,1804.0,1804.0,F,20.0,Master,IT,IT
7,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,780,1,780.0,780.0,F,38.0,PhD,Administration,Administration
8,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1405,1,1405.0,1405.0,F,21.0,Bachelor,Engineering,Engineering
9,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,443,1,443.0,443.0,F,30.0,Bachelor,Education,Education
10,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1984,1,1984.0,1984.0,F,52.0,Master,IT,IT
11,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,864,0,864.0,864.0,M,37.0,Bachelor,Science,Science
12,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1486,1,1486.0,1486.0,F,24.0,Bachelor,IT,IT
13,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,59,0,59.0,59.0,nonbinary,27.0,Master,Farming,Farming
14,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1080,0,1080.0,1080.0,F,40.0,Bachelor,Science,IT
15,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,454,0,454.0,454.0,F,38.0,PhD,IT,IT
16,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1564,0,1564.0,1564.0,F,34.0,Master,Education,Education
17,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,896,1,896.0,896.0,F,42.0,HighSchool,Health,Health
18,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1015,0,1015.0,1015.0,NS,21.0,Bachelor,Science,Science
19,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1132,0,1132.0,1132.0,M,34.0,Master,IT,IT
20,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,477,0,477.0,477.0,F,42.0,PhD,IT,IT
21,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,707,0,707.0,707.0,F,32.0,Master,Engineering,IT
22,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,472,0,472.0,472.0,F,31.0,HighSchool,IT,IT
23,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1386,0,1386.0,1386.0,F,23.0,PhD,IT,IT
24,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,448,0,448.0,448.0,F,39.0,Master,IT,IT
25,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1558,0,1558.0,1558.0,F,57.0,Bachelor,Education,IT
26,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,941,0,941.0,941.0,nonbinary,37.0,PhD,IT,IT
27,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1950,1,1950.0,1950.0,F,45.0,Master,Business,Business
28,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,593,0,593.0,593.0,F,33.0,Master,Media,Media
29,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1897,0,1897.0,1897.0,nonbinary,49.0,Master,Science,Science
30,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,44,0,44.0,44.0,F,33.0,PhD,Science,Science
31,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,852,0,852.0,852.0,M,35.0,HighSchool,IT,IT
32,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1715,0,1715.0,1715.0,F,49.0,PhD,IT,IT
33,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1876,0,1876.0,1876.0,F,56.0,Bachelor,Education,Education
34,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1139,0,1139.0,1139.0,F,40.0,Master,Business,Business
35,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1888,0,1888.0,1888.0,M,40.0,Bachelor,Hospitality,Hospitality
36,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1315,1,1315.0,1315.0,M,40.0,Master,Business,Business
37,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,204,0,204.0,204.0,NS,51.0,Bachelor,Science,Science
38,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,380,0,380.0,380.0,M,30.0,Bachelor,IT,IT
39,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1288,0,1288.0,1288.0,nonbinary,41.0,Master,IT,IT
40,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1482,1,1482.0,1482.0,M,36.0,Master,IT,IT
41,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1761,0,1761.0,1761.0,F,35.0,Bachelor,Science,Science
42,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,607,0,607.0,607.0,F,48.0,Bachelor,Hospitality,Hospitality
43,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,247,0,247.0,247.0,M,38.0,Master,Education,Education
44,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1521,1,1521.0,1521.0,nonbinary,31.0,Master,IT,IT
45,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,681,0,681.0,681.0,F,21.0,PhD,Business,Business
46,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1834,1,1834.0,1834.0,M,29.0,Bachelor,Education,Education
47,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1477,0,1477.0,1477.0,F,25.0,Master,IT,IT
48,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1993,0,1993.0,1993.0,nonbinary,26.0,Bachelor,Business,Business
49,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1456,0,1456.0,1456.0,F,39.0,Master,Engineering,Engineering
50,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1025,1,1025.0,1025.0,F,40.0,HighSchool,Engineering,IT
51,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1917,1,1917.0,1917.0,F,33.0,Master,Science,Science
52,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1980,0,1980.0,1980.0,F,37.0,HighSchool,IT,IT
53,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1039,0,1039.0,1039.0,M,36.0,Bachelor,Business,IT
54,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1699,0,1699.0,1699.0,F,36.0,Master,IT,IT
55,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1864,0,1864.0,1864.0,M,37.0,Bachelor,IT,IT
56,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1372,0,1372.0,1372.0,F,26.0,PhD,Health,Health
57,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,388,0,388.0,388.0,F,39.0,Master,Science,Science
58,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,621,0,621.0,621.0,M,20.0,HighSchool,Science,IT
59,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,581,0,581.0,581.0,F,36.0,Bachelor,Media,Media
60,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1203,0,1203.0,1203.0,nonbinary,33.0,Bachelor,Business,IT
61,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1807,1,1807.0,1807.0,F,31.0,HighSchool,Engineering,Engineering
62,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1022,1,1022.0,1022.0,F,31.0,Bachelor,Law,Law
63,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1733,0,1733.0,1733.0,F,85.0,Master,Construction,IT
64,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1926,1,1926.0,1926.0,M,31.0,Bachelor,IT,IT
65,0,January,5,2743.0,2.0,13,2,0,0,18000,18180.37189981426,113,8,5,1034,0,1034.0,1034.0,F,52.0,Master,Engineering,IT
